parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
17000000	8500	2000	17	1	1	comp:kick	25.12	12.56	9.26	2000.0	51.92
17000000	8500	2000	17	1	1	Other	0.23	230.5	0.0	1.0	0.48
17000000	8500	2000	17	1	1	total_time	48.45	48449.81	0.0	1.0	100.0
18000000	9000	2000	18	1	1	comm:bcast	0.32	0.05	22.26	6001.0	0.62
18000000	9000	2000	18	1	1	comm:gather	0.21	208.92	0.0	1.0	0.4
18000000	9000	2000	18	1	1	comm:histo_extra	1.05	0.52	188.38	2000.0	2.04
18000000	9000	2000	18	1	1	comm:recv_task	1.94	0.16	4130.68	12004.0	3.64
18000000	9000	2000	18	1	1	comm:scatter	4.23	4231.09	0.0	1.0	8.02
18000000	9000	2000	18	1	1	comp:drift	8.57	4.28	2.9	2000.0	16.56
18000000	9000	2000	18	1	1	comp:histo	10.0	5.0	2.94	2000.0	19.34
18000000	9000	2000	18	1	1	comp:kick	25.32	12.66	8.55	2000.0	48.94
18000000	9000	2000	18	1	1	Other	0.23	228.88	0.0	1.0	0.44
18000000	9000	2000	18	1	1	total_time	51.88	51882.56	0.0	1.0	100.0
19000000	9500	2000	19	1	1	comm:bcast	0.4	0.07	25.91	6001.0	0.59
19000000	9500	2000	19	1	1	comm:gather	0.22	214.64	0.0	1.0	0.32
19000000	9500	2000	19	1	1	comm:histo_extra	15.98	7.99	37.86	2000.0	23.8
19000000	9500	2000	19	1	1	comm:recv_task	3.28	0.28	1658.25	12004.0	4.81
19000000	9500	2000	19	1	1	comm:scatter	1.23	1227.04	0.0	1.0	1.74
19000000	9500	2000	19	1	1	comp:drift	7.99	4.0	12.38	2000.0	11.91
19000000	9500	2000	19	1	1	comp:histo	11.73	5.87	21.58	2000.0	17.48
19000000	9500	2000	19	1	1	comp:kick	26.15	13.08	12.18	2000.0	38.95
19000000	9500	2000	19	1	1	Other	0.27	270.97	0.0	1.0	0.4
19000000	9500	2000	19	1	1	total_time	67.23	67233.58	0.0	1.0	100.0
