parts	slices	turns	n	omp	N	function	total_time(sec)	time_per_call(ms)	std(%)	calls	global_percentage
33000000	16500	2000	33	1	2	comm:gather	0.33	334.18	0.0	1.0	0.67
33000000	16500	2000	33	1	2	comm:histo_extra	2.99	1.49	132.81	2000.0	5.99
33000000	16500	2000	33	1	2	comm:recv_task	2.05	0.17	1762.02	12004.0	4.11
33000000	16500	2000	33	1	2	comm:scatter	0.82	815.1	0.0	1.0	1.63
33000000	16500	2000	33	1	2	comp:drift	8.1	4.05	3.33	2000.0	16.24
33000000	16500	2000	33	1	2	comp:histo	10.1	5.05	4.38	2000.0	20.25
33000000	16500	2000	33	1	2	comp:kick	24.93	12.46	8.9	2000.0	49.96
33000000	16500	2000	33	1	2	Other	0.24	238.74	0.0	1.0	0.48
33000000	16500	2000	33	1	2	total_time	49.9	49895.61	0.0	1.0	100.0
35000000	17500	2000	35	1	2	comm:bcast	0.34	0.06	26.51	6001.0	0.61
35000000	17500	2000	35	1	2	comm:gather	0.36	358.16	0.0	1.0	0.63
35000000	17500	2000	35	1	2	comm:histo_extra	9.55	4.77	87.06	2000.0	16.83
35000000	17500	2000	35	1	2	comm:recv_task	1.36	0.11	1976.09	12004.0	2.4
35000000	17500	2000	35	1	2	comm:scatter	0.83	828.52	0.0	1.0	1.46
35000000	17500	2000	35	1	2	comp:drift	8.21	4.11	6.16	2000.0	14.48
35000000	17500	2000	35	1	2	comp:histo	10.45	5.22	9.46	2000.0	18.42
35000000	17500	2000	35	1	2	comp:kick	25.38	12.69	10.18	2000.0	44.74
35000000	17500	2000	35	1	2	Other	0.25	245.28	0.0	1.0	0.43
35000000	17500	2000	35	1	2	total_time	56.72	56722.16	0.0	1.0	100.0
37000000	18500	2000	37	1	2	comm:bcast	0.34	0.06	23.76	6001.0	0.68
37000000	18500	2000	37	1	2	comm:gather	0.37	374.46	0.0	1.0	0.76
37000000	18500	2000	37	1	2	comm:histo_extra	2.5	1.25	116.94	2000.0	5.04
37000000	18500	2000	37	1	2	comm:recv_task	0.78	0.06	2894.65	12004.0	1.57
37000000	18500	2000	37	1	2	comm:scatter	0.8	801.84	0.0	1.0	1.62
37000000	18500	2000	37	1	2	comp:drift	8.75	4.37	3.39	2000.0	17.67
37000000	18500	2000	37	1	2	comp:histo	10.17	5.09	3.14	2000.0	20.55
37000000	18500	2000	37	1	2	comp:kick	25.55	12.77	8.73	2000.0	51.62
37000000	18500	2000	37	1	2	Other	0.24	237.43	0.0	1.0	0.48
37000000	18500	2000	37	1	2	total_time	49.49	49490.31	0.0	1.0	100.0
39000000	19500	2000	39	1	2	comm:bcast	0.39	0.07	32.41	6001.0	0.59
39000000	19500	2000	39	1	2	comm:gather	0.43	426.79	0.0	1.0	0.64
39000000	19500	2000	39	1	2	comm:histo_extra	16.83	8.41	26.85	2000.0	25.3
39000000	19500	2000	39	1	2	comm:recv_task	2.5	0.21	1218.85	12004.0	3.75
39000000	19500	2000	39	1	2	comm:scatter	0.92	919.27	0.0	1.0	1.38
39000000	19500	2000	39	1	2	comp:drift	8.29	4.15	13.03	2000.0	12.47
39000000	19500	2000	39	1	2	comp:histo	10.84	5.42	13.95	2000.0	16.29
39000000	19500	2000	39	1	2	comp:kick	26.07	13.03	10.68	2000.0	39.19
39000000	19500	2000	39	1	2	Other	0.26	255.5	0.0	1.0	0.38
39000000	19500	2000	39	1	2	total_time	66.51	66514.56	0.0	1.0	100.0
